ml	CpG.number
chr2_103865267_103865869	0.46	3
chr2_104153164_104153911	0.69	6
chr2_104225981_104226548	0.13	5
chr2_104572525_104573345	0.05	26
chr2_104742444_104743126	0	18
chr2_105370532_105371242	0.06	20
chr2_105722296_105722910	0.79	3
chr2_105730604_105731456	0.27	5
chr2_106183639_106184217	0.55	17
chr2_106194266_106194936	0.19	18
chr2_106917008_106917449	0.01	2
chr2_108289562_108290542	0.18	4
chr2_109546665_109547198	0.5	7
chr2_109619354_109620224	0.01	9
chr2_109917296_109918378	0	42
chr2_110038086_110038759	0.13	8
chr2_110147953_110148609	0.34	3
chr2_110275113_110275900	0.19	4
chr2_110362220_110363238	0.06	35
chr2_110600105_110600539	0.13	7
chr2_110709356_110710739	0.09	14
chr2_112224247_112225080	0.11	8
chr2_112249365_112250586	0.14	15
chr2_112432586_112433077	0.07	2
chr2_112443300_112443784	0.16	2
chr2_112482625_112483533	0.06	6
chr2_113115104_113115813	0.09	4
chr2_113335848_113336398	0.01	3
chr2_113768535_113769434	0.26	9
chr2_114593275_114593854	0.81	4
chr2_115769636_115770309	0.02	9
chr2_116443976_116444569	0.37	3
chr2_117017687_117018946	0.03	21
chr2_117048148_117049107	0.25	8
chr2_117203075_117203780	0.09	6
chr2_117386306_117387641	0.04	20
chr2_117431875_117432688	0.21	7
chr2_117438676_117439570	0.17	8
chr2_117450106_117450886	0.16	7
chr2_118262464_118263349	0.02	16
chr2_118307796_118308352	0.54	9
chr2_118448104_118448648	0.26	12
chr2_118498959_118499556	0.18	9
chr2_118775225_118776416	0.11	2
chr2_119288259_119289297	0.01	32
chr2_119337710_119338405	0.01	6
chr2_120414280_120415858	0.07	5
chr2_120539749_120540452	0.23	3
chr2_120567310_120568060	0	25
chr2_120589614_120590606	0.24	13
chr2_120597545_120598293	0.42	4
chr2_121008048_121008928	0.01	30
chr2_121183285_121183777	0.63	7
chr2_121323028_121324199	0.9	17
chr2_121354709_121355776	0.01	10
chr2_121832468_121832825	0.01	4
chr2_122163641_122164592	0.11	9
chr2_122255659_122256485	0.64	13
chr2_122533233_122533802	0.68	5
chr2_123023467_123024553	0.05	5
chr2_123073511_123074113	0.13	4
chr2_123486557_123487200	0.04	1
chr2_124291093_124291665	0.1	4
chr2_125178056_125178859	0.61	10
chr2_125480432_125481564	0.21	13
chr2_125731658_125732225	0.06	18
chr2_125809241_125809995	0.09	12
chr2_126450598_126451353	0.16	12
chr2_127269664_127270963	0	62
chr2_127535250_127535870	0.19	10
chr2_127537366_127538086	0.34	4
chr2_127792031_127792779	0.01	38
chr2_128166501_128167139	0.12	10
chr2_128245570_128246015	0.96	8
chr2_128309768_128310521	0.03	11
chr2_128333407_128334164	0.22	9
chr2_129100779_129101443	0.01	21
chr2_129133251_129133927	0.29	12
chr2_129139567_129140603	0.08	19
chr2_129183441_129184278	0.14	10
chr2_129186419_129187044	0.16	7
chr2_129231860_129233028	0.07	12
chr2_129240565_129241475	0.21	11
chr2_129320089_129320607	0.29	6
chr2_129360177_129361726	0.17	16
chr2_129544355_129545401	0.64	8
chr2_129654872_129655550	0.26	9
chr2_129733891_129734581	0.2	13
chr2_129740318_129740930	0.1	4
chr2_129851208_129851964	0.01	9
chr2_129987461_129988079	0	7
chr2_130411701_130412214	0.31	10
chr2_130495932_130496481	0.22	6
chr2_130585759_130586340	0.27	11
chr2_130728896_130729573	0	2
chr2_131204264_131205155	0.11	8
chr2_131483816_131484882	0.34	12
chr2_131664445_131665218	0.34	6
chr2_131686395_131687134	0.06	7
chr2_131702009_131702583	0.29	4
chr2_131716813_131717454	0.43	8
chr2_131748508_131749439	0.13	20
chr2_131812403_131813226	0.18	25
chr2_132375297_132375613	0.05	4
chr2_132507313_132507884	0.13	12
chr2_132705432_132706185	0.08	7
chr2_132750754_132752060	0.09	13
chr2_132757804_132758444	0.01	6
chr2_132893580_132894484	0.02	9
chr2_133235442_133235949	0.09	3
chr2_134846503_134847182	0.01	6
chr2_135029575_135030134	0.05	8
chr2_135658343_135659935	0.08	37
chr2_135717109_135717640	0.51	13
chr2_136241889_136242230	0	3
chr2_136402333_136403321	0.1	7
chr2_136648384_136649132	0.69	9
chr2_136669092_136669684	0.01	3
chr2_137082861_137083450	0.14	23
chr2_138256196_138257503	0	63
chr2_138744519_138745098	0.03	4
chr2_138820044_138821348	0.08	8
chr2_139102600_139103390	0	1
chr2_139277418_139278282	0.6	13
chr2_139649485_139650339	0.47	10
chr2_139784487_139785426	0.01	3
chr2_140066059_140067305	0.03	63
chr2_140113754_140114337	0.13	10
chr2_140293697_140294744	0.16	6
chr2_141617657_141618613	0.5	8
chr2_141998854_141999518	0.57	7
chr2_142166489_142167093	0.14	7
chr2_142334113_142335136	0.1	15
chr2_142437667_142438612	0.91	5
chr2_142647786_142648515	0.02	11
chr2_142869851_142870760	0.2	14
chr2_143034696_143035752	0.03	17
chr2_143056432_143057365	0.04	8
chr2_143114484_143115346	0.13	7
chr2_143837341_143837622	0.02	6
chr2_144035812_144036171	0.67	7
chr2_144134399_144135037	0.19	11
chr2_144381004_144381724	0.49	6
chr2_144441155_144442014	0.37	18
chr2_144465024_144466544	0.11	23
chr2_144479316_144479835	0.03	2
chr2_144655295_144655841	0.2	6
chr2_144745846_144747123	0.38	16
chr2_145055930_145056758	0.25	5
chr2_145172980_145173582	0	4
chr2_145196802_145197454	0.47	9
chr2_145233747_145234231	0.69	7
chr2_145611035_145611497	0.26	7
chr2_145683555_145684551	0.25	4
chr2_145723837_145724980	0.18	10
chr2_145833389_145833865	0.21	3
chr2_145850524_145851323	0.4	13
chr2_146363366_146363994	0.37	2
chr2_146502307_146503322	0.24	17
chr2_148160607_148161204	0.02	2
chr2_148197306_148197830	0.31	7
chr2_148364099_148364872	0.15	5
chr2_148569913_148570479	0.56	3
chr2_148626885_148627668	0.51	7
chr2_148634327_148635017	0.04	5
chr2_149542766_149543514	0.1	4
chr2_149768020_149769448	0.11	3
chr2_149844438_149845093	0.2	3
chr2_150311097_150311861	0.06	15
chr2_150959266_150960227	0.36	13
chr2_151524485_151525343	0.18	4
chr2_151536151_151537043	0.17	6
chr2_151715404_151715958	0.14	5
chr2_152112888_152113452	0.18	14
chr2_152129420_152130230	0.09	4
chr2_152293378_152294347	0	28
chr2_152302803_152303298	0.04	3
chr2_152776094_152777084	0.03	6
chr2_152817856_152818406	0.08	7
chr2_153022397_153023198	0.22	8
chr2_153186014_153186599	0.03	3
chr2_153308925_153309587	0.14	5
chr2_153483240_153483854	0.09	15
chr2_153498730_153499459	0.08	10
chr2_153913234_153914628	0.38	12
chr2_153921117_153921773	0.16	7
chr2_154243267_154243921	0.05	9
chr2_154378888_154379782	0.02	8
chr2_154410142_154410717	0.33	3
chr2_154474111_154475036	0	3
chr2_154517067_154517961	0.1	11
chr2_154537979_154539012	0.17	6
chr2_154543369_154544113	0.5	7
chr2_154583785_154584610	0.03	11
chr2_154669626_154670638	0.28	12
chr2_155784483_155785049	0.13	7
chr2_155991693_155992614	0.9	23
chr2_156202876_156203471	0.57	4
chr2_156251255_156251727	0.05	1
chr2_156311772_156313188	0.01	28
chr2_156379767_156380586	0.28	16
chr2_156431788_156432570	0.5	9
chr2_156469040_156469364	0.17	4
chr2_156841231_156842181	0.03	32
chr2_157087589_157088022	0.02	7
chr2_157166568_157167479	0.2	16
chr2_157409446_157410722	0.39	10
chr2_157492922_157493765	0.12	6
chr2_157775752_157776908	0.1	12
chr2_157877640_157878515	0.07	9
chr2_158012383_158013130	0.2	8
chr2_158121609_158122217	0.73	4
chr2_158241776_158242810	0.18	17
chr2_158243164_158243872	0.54	17
chr2_158264791_158265324	0.41	5
chr2_158316852_158317575	0.22	9
chr2_159019686_159020421	0.13	5
chr2_159539032_159539695	0.29	4
chr2_160207023_160207788	0.2	7
chr2_160432801_160433747	0.28	17
chr2_160645536_160646365	0.01	62
chr2_161661802_161662541	0.48	13
chr2_161799800_161800608	0.02	11
chr2_161858316_161860053	0.32	16
chr2_162219342_162220030	0.22	5
chr2_162888387_162890071	0.29	35
chr2_162907991_162908729	0.75	18
chr2_162913955_162914932	0.16	5
chr2_162922398_162923138	0.12	8
chr2_162930940_162932595	0	44
chr2_163138819_163139429	0.07	7
chr2_163208948_163209689	0.33	11
chr2_163243727_163244439	0.11	7
chr2_163332384_163333134	0.03	15
chr2_163458491_163459821	0.53	34
chr2_163491212_163491787	0.56	6
chr2_163820691_163821176	0.91	7
chr2_163924950_163925576	0.28	11
chr2_163939409_163940271	0.48	20
chr2_163964507_163965567	0.9	14
chr2_164098497_164099219	0.23	16
chr2_164174727_164175529	0.04	10
chr2_164312539_164313324	0.26	8
chr2_164454737_164455475	0.05	11
chr2_164550127_164551017	0.11	6
chr2_164765706_164766321	0.08	3
chr2_165064328_165064993	0.05	5
chr2_165207392_165208109	0.16	9
chr2_165300304_165301119	0.37	9
chr2_165311494_165312031	0.37	12
chr2_165486953_165487553	0.11	3
chr2_165510276_165511192	0.05	7
chr2_166051792_166052452	0.1	12
chr2_166241280_166241777	0.04	3
chr2_166463307_166464071	0.16	15
chr2_166544676_166545506	0.35	10
chr2_166581830_166582998	0.2	28
chr2_166727635_166728384	0.05	10
chr2_166763648_166764404	0.24	7
chr2_166799672_166800347	0.06	10
chr2_166828273_166828764	0.22	15
chr2_167782046_167782898	0.07	21
chr2_167789231_167789854	0.51	12
chr2_167816956_167817483	0.44	14
chr2_167860306_167861179	0.67	11
chr2_168206774_168207708	0	6
chr2_168260878_168261426	0.21	2
chr2_168330281_168331168	0	13
chr2_168352464_168353249	0.12	15
chr2_168358473_168358987	0.19	7
chr2_168440707_168441808	0.18	29
chr2_168524818_168525528	0.31	12
chr2_168532294_168532805	0.28	9
chr2_168882294_168883464	0.42	14
chr2_169049476_169050792	0.45	42
chr2_169137997_169138734	0.12	10
chr2_169319212_169319992	0.33	8
chr2_169961362_169962047	0	19
chr2_170445817_170446548	0.18	9
chr2_170539173_170539859	0.16	14
chr2_171332830_171333464	0.24	18
chr2_171358139_171358911	0.17	8
chr2_171586056_171586886	0.35	9
chr2_171816523_171817435	0.65	5
chr2_171920840_171921555	0.31	11
chr2_172103813_172104463	0.29	13
chr2_172159828_172160575	0.05	24
chr2_172206964_172207958	0.19	17
chr2_172283462_172284195	0.51	19
chr2_172391807_172392581	0.02	15
chr2_173300501_173301619	0.07	28
chr2_173347175_173347911	0.03	11
chr2_173993310_173993917	0.19	6
chr2_174263075_174263997	0.33	8
chr2_174584217_174584766	0	2
chr2_174599616_174600668	0.32	16
chr2_174674146_174674801	0.11	21
chr2_174932714_174933150	0.02	18
chr2_178565052_178565877	0.1	13
chr2_178674554_178675082	0.58	4
chr2_178916212_178916968	0.44	6
chr2_179237900_179238960	0.22	20
chr2_179586330_179587392	0.08	16
chr2_179598745_179599444	0.41	13
chr2_180048116_180048777	0.07	16
chr2_180050871_180051409	0.38	6
chr2_180154638_180155160	0.07	2
chr2_180530117_180530623	0.14	9
chr2_180879164_180880137	0.47	9
chr2_181080688_181081596	0.57	10
chr2_181174504_181175199	0.12	3
chr2_181419799_181420979	0.01	18
chr2_181472226_181472892	0.65	1
chr2_181537598_181538199	0.15	5
chr3_5575673_5576686	0	87
chr3_6865801_6866598	0.2	3
chr3_7787634_7788155	0.85	7
chr3_8050879_8051715	0.12	5
chr3_8561297_8562229	0.38	13
chr3_8851770_8852450	0.07	5
chr3_9189556_9190114	0.32	11
chr3_9441967_9442699	0.06	17
chr3_9454688_9455535	0.25	9
chr3_9529927_9530562	0.29	7
chr3_9727180_9727998	0.07	7
chr3_10326599_10327521	0.07	14
chr3_10398477_10399162	0.1	19
chr3_15071366_15071878	0.08	2
chr3_16277210_16277933	0.05	2
chr3_18421570_18422766	0.32	6
chr3_18705878_18706401	0.12	9
chr3_18941039_18942396	0.28	15
chr3_19216833_19217570	0.21	10
chr3_19881236_19881797	0.19	12
chr3_19894462_19895934	0.01	73
chr3_20661825_20662450	0.11	1
chr3_20695183_20696109	0.09	14
chr3_21045826_21046718	0.27	6
chr3_21465967_21467182	0.09	10
chr3_21483973_21484555	0.16	2
chr3_21645057_21646003	0.56	6
chr3_21771571_21772439	0.53	5
chr3_25463042_25463851	0.65	4
chr3_26923252_26923885	0.46	8
chr3_27189184_27190343	0.13	15
chr3_27503126_27503972	0.33	7
chr3_27511646_27512170	0.36	13
chr3_27616436_27616979	0.95	14
chr3_27765550_27766547	0.03	9
chr3_27782008_27782903	0.31	22
chr3_27881858_27882528	0.37	5
chr3_27888458_27889347	0.17	11
chr3_27929106_27929641	0.21	7
chr3_27968270_27969176	0.24	11
chr3_28317256_28317692	0.02	1
chr3_28334517_28335122	0.05	2
chr3_28532618_28533182	0.07	7
chr3_28564651_28565183	0.12	5
chr3_31254062_31254955	0.49	13
chr3_31324292_31324649	0.45	3
chr3_31328048_31328893	0.11	9
chr3_31902354_31903383	0.01	25
chr3_32347681_32348515	0.17	12
chr3_32396223_32397324	0.02	51
chr3_32668496_32669791	0.12	18
chr3_32826194_32827169	0.17	11
chr3_33305800_33306664	0.13	4
chr3_33741787_33742639	0.08	4
chr3_34240046_34240489	0.01	2
chr3_34773806_34774435	0.02	19
chr3_35225115_35225647	0.03	10
chr3_36202753_36203554	0.02	10
chr3_36340508_36341569	0.12	12
chr3_36530223_36531643	0.08	14
chr3_36537582_36538633	0.3	7
chr3_36732880_36733760	0.12	8
chr3_37203889_37204772	0.03	22
chr3_37259445_37260649	0.06	23
chr3_37769093_37769887	0.19	13
chr3_37978459_37978941	0.01	7
chr3_38473031_38473700	0.25	6
chr3_38707908_38708440	0.12	6
chr3_38934465_38935241	0.07	13
chr3_39209349_39210130	0.07	9
chr3_39592347_39592907	0.07	4
chr3_39718772_39719626	0.22	17
chr3_39965438_39966694	0.17	6
chr3_40158791_40159799	0.35	23
chr3_40262409_40263086	0.03	8
chr3_40666232_40667190	0.66	9
chr3_41113119_41113693	0.23	6
chr3_41195101_41195809	0.35	6
chr3_41230977_41231314	0.93	2
chr3_41913095_41913656	0.15	5
chr3_42129491_42130581	0.02	4
chr3_42163428_42164250	0.13	3
chr3_46332063_46332455	0.28	3
chr3_47348370_47348967	0.44	2
chr3_48108621_48109092	0.05	2
chr3_50461818_50463239	0.1	8
chr3_50612903_50613535	0.27	5
chr3_51195143_51196188	0.05	21
chr3_51531556_51532368	0.89	14
chr3_51611810_51612422	0.49	7
chr3_51778551_51779517	0.37	13
chr3_51888804_51890273	0.52	25
chr3_51941765_51942337	0.05	8
chr3_52029275_52030698	0.26	35
chr3_52573586_52574374	0.18	8
chr3_52578993_52579606	0.18	5
chr3_52600748_52601756	0.93	32
chr3_52677067_52677954	0.43	19
chr3_52685553_52686512	0.14	12
chr3_52688550_52688951	0.6	7
chr3_52735906_52736464	0.42	8
chr3_53415935_53416692	0.39	8
chr3_53669674_53670211	0	2
chr3_53890773_53891615	0.02	14
chr3_54204200_54204945	0.24	11
chr3_54246194_54246800	0.01	3
chr3_54587162_54587968	0.02	20
chr3_54934559_54934990	0.17	4
chr3_55315654_55316462	0.02	15
chr3_56203683_56204319	0.22	7
chr3_56362285_56363298	0.02	2
chr3_56589925_56590574	0.18	7
chr3_56788842_56789685	0.03	4
chr3_56962380_56963399	0.03	8
chr3_57128578_57129120	0.34	2
chr3_57882825_57883444	0	4
chr3_57998203_57999187	0.04	6
chr3_58493292_58493909	0.05	6
chr3_59343590_59344677	0.02	30
chr3_62412604_62413250	0.1	7
chr3_63928936_63929600	0.01	38
chr3_65231469_65232195	0.53	11
chr3_65612251_65613240	0.21	16
chr3_65635970_65636459	0.06	9
chr3_65868808_65869439	0.02	9
chr3_65912162_65913459	0.25	19
chr3_66934365_66934813	0.01	4
chr3_67931261_67931585	0.24	7
chr3_68055177_68055708	0.08	16
chr3_68250472_68250973	0.13	3
chr3_68466601_68467265	0.02	7
chr3_68516052_68517918	0.13	27
chr3_68649847_68650663	0.55	9
chr3_68676698_68677443	0.01	18
chr3_68687062_68687671	0	6
chr3_68692790_68694363	0.2	21
chr3_68709058_68709506	0.43	4
chr3_68759227_68759814	0.05	8
chr3_68765081_68765735	0.39	8
chr3_68905324_68905947	0.15	1
chr3_68956217_68957001	0.19	10
chr3_69558892_69560298	0.24	17
chr3_70201377_70202204	0.03	3
chr3_70543744_70544543	0.04	3
chr3_75584772_75585556	0.19	8
chr3_76679927_76680732	0.06	6
chr3_78158449_78159020	0.03	4
chr3_78955336_78955899	0.17	9
chr3_79015559_79016480	0.1	9
chr3_79401989_79402565	0.23	8
chr3_79435737_79436737	0.25	12
chr3_79559158_79560011	0.24	10
chr3_79957810_79958327	0.24	3
chr3_80032851_80033966	0.11	8
chr3_80124636_80125052	0.33	8
chr3_80421333_80422958	0.05	13
chr3_80533727_80534533	0.02	6
chr3_80556731_80557505	0.68	5
chr3_80802554_80803215	0	19
chr3_82185542_82186221	0.1	11
chr3_82652224_82652816	0.06	4
chr3_83273447_83274162	0.37	19
chr3_84200470_84201206	0.37	13
chr3_84233756_84234455	0.04	3
chr3_84246293_84247512	0.21	25
chr3_84422285_84422867	0.56	9
chr3_84429014_84429571	0.32	6
chr3_84652834_84653464	0.34	11
chr3_84696105_84697010	0.11	24
chr3_85043529_85044587	0.04	10
chr3_85133170_85134027	0.12	9
chr3_85159584_85160442	0.13	7
chr3_85264746_85265618	0.15	7
chr3_85287549_85288123	0.11	2
chr3_85390753_85391800	0.12	9
chr3_85398337_85398920	0.71	1
chr3_85423346_85424228	0.45	10
chr3_85465152_85466264	0.02	12
chr3_85520833_85522010	0.1	5
chr3_85530395_85531285	0.01	9
chr3_85607820_85608327	0.26	4
chr3_85636660_85637534	0.14	5
chr3_86646348_86647197	0.56	4
chr3_86687677_86688279	0.43	5
chr3_86804131_86804742	0.07	12
chr3_86850373_86851017	0.5	10
chr3_86919636_86921214	0	66
chr3_87546117_87547030	0.11	15
chr3_87555896_87556705	0.14	5
chr3_87617100_87617930	0	31
chr3_87763868_87764950	0.15	16
chr3_88120979_88122113	0.49	16
chr3_88133101_88133858	0.52	5
chr3_88243974_88244403	0.38	1
chr3_89258984_89259708	0.12	11
chr3_89393434_89394209	0.01	10
chr3_89858109_89859373	0.12	15
chr3_89948638_89949324	0.31	7
chr3_89951927_89952319	0.06	3
chr3_89998652_89999231	0	27
chr3_90098020_90098853	0.05	15
chr3_90127747_90128427	0.02	7
chr3_90264894_90266219	0.01	10
chr3_92080371_92082112	0.01	66
chr3_93299719_93300292	0.14	6
chr3_93568260_93569190	0.14	8
chr3_93597046_93597720	0.07	4
chr3_94380066_94380699	0.2	8
chr3_94465418_94466343	0.02	13
chr3_94601931_94602323	0.03	2
chr3_94837223_94837910	0	10
chr3_94953689_94954603	0	36
chr3_95217196_95218263	0	49
chr3_95269639_95270203	0.05	10
chr3_95624650_95625636	0.01	39
chr3_95818085_95820084	0	75
chr3_96542703_96543512	0.33	15
chr3_97255235_97256068	0.6	13
chr3_97269088_97269826	0.06	8
chr3_97844102_97844951	0.17	8
chr3_97931240_97931811	0.04	6
chr3_97940737_97941288	0.17	7
chr3_98089085_98089886	0.18	6
chr3_98249786_98250548	0.31	11
chr3_98259058_98259937	0.31	12
chr3_98406355_98406975	0.11	6
chr3_99104132_99104773	0.14	4
chr3_99292325_99292928	0.14	3
chr3_100106690_100107284	0.64	2
chr3_100162030_100162934	0	69
chr3_100364212_100365633	0.4	8
chr3_100685212_100686345	0.01	26
chr3_100727901_100728774	0.12	6
chr3_100849708_100850653	0.35	17
chr3_101061817_101062366	0.07	7
chr3_101170971_101171613	0.28	17
chr3_101286496_101287179	0.5	8
chr3_101360732_101361407	0.43	6
chr3_101618257_101618806	0.39	8
chr3_101628210_101629059	0.59	8
chr3_101634147_101634974	0.03	10
chr3_101660000_101660878	0.32	13
chr3_101690044_101690778	0.44	6
chr3_101835982_101836762	0.19	12
chr3_102011520_102013253	0.04	97
chr3_102360617_102361309	0.03	10
chr3_102714989_102715504	0.4	15
chr3_102763534_102764287	0.41	11
chr3_103171313_103172220	0	47
chr3_103624287_103625024	0.56	11
chr3_103771431_103772083	0.67	9
chr3_103780085_103780825	0.06	7
chr3_103801759_103802451	0.96	10
chr3_104264383_104265129	0.21	6
chr3_104342097_104342714	0.09	10
chr3_104349219_104350051	0.23	9
chr3_104383568_104384514	0.07	12
chr3_104790008_104790845	0.11	13
chr3_104905370_104906279	0.03	9
chr3_104967028_104968142	0.08	23
chr3_105164752_105166050	0.61	13
chr3_105280902_105282321	0.37	15
chr3_105392524_105393290	0.67	9
chr3_105578263_105578779	0.35	3
chr3_105864706_105865632	0.24	15
chr3_105871934_105872584	0.06	8
chr3_106958111_106958757	0.46	5
chr3_107175359_107176064	0.82	5
chr3_107367777_107368438	0.33	4
chr3_107387482_107388236	0.45	9
chr3_107441324_107442816	0.1	20
chr3_107777985_107778633	0.16	7
chr3_107793586_107794226	0	5
chr3_108233714_108234132	0.05	7
chr3_108341181_108341567	0.56	4
chr3_108358487_108359283	0.01	13
chr3_108499773_108500198	0.84	6
chr3_108762584_108763425	0.19	12
chr3_108781278_108782049	0.22	11
chr3_108854993_108856222	0.16	32
chr3_109248483_109249277	0.1	5
chr3_109273052_109273722	0.21	3
chr3_109858137_109858841	0.94	5
chr3_109932227_109932766	0.25	11
chr3_114065537_114066375	0.07	14
chr3_115933320_115934347	0.28	19
chr3_116163430_116164139	0.15	6
chr3_116297907_116298438	0.04	9
chr3_116661855_116662947	0.01	26
chr3_116905775_116906304	0.07	18
chr3_116985143_116986147	0.01	4
chr3_117007027_117007932	0	8
chr3_117122041_117122594	0.01	3
chr3_117169629_117170374	0.38	4
chr3_117265619_117266467	0.16	11
chr3_117716570_117717636	0.15	4
chr3_118036334_118037015	0.3	10
chr3_118072354_118072908	0.12	3
chr3_118500292_118500915	0.19	4
chr3_119995606_119996257	0.23	8
chr3_120439718_120440161	0.06	2
chr3_120570851_120571661	0.02	9
chr3_120885990_120886912	0.04	24
chr3_121250861_121251791	0.39	14
chr3_121257284_121257943	0.07	10
chr3_121584632_121585273	0.35	6
chr3_121723361_121724329	0	47
chr3_122170580_122171362	0.18	10
chr3_122176641_122177050	0.99	3
chr3_122814118_122815073	0.08	10
chr3_123298105_123298824	0.04	15
chr3_123425456_123426168	0.25	10
chr3_124075963_124076714	0.04	7
chr3_125403818_125404398	0.01	11
chr3_126400416_126401135	0.19	12
chr3_126695247_126695875	0.87	10
chr3_126722908_126723894	0.15	13
chr3_127063663_127064506	0.06	6
chr3_127093359_127094639	0.34	18
chr3_127188304_127189073	0.1	9
chr3_127416808_127417557	0.47	5
chr3_127511987_127512752	0.01	12
chr3_129947959_129948717	0.23	8
chr3_130137154_130138189	0.28	4
chr3_130356487_130357135	0.23	15
chr3_130400496_130401222	0.01	11
chr3_130432732_130433324	0.48	8
chr3_130620327_130621353	0.21	30
chr3_131320134_131320938	0.42	8
chr3_131919491_131920076	0.67	19
chr3_132683615_132684732	0	48
chr3_133379863_133380507	0.13	2
chr3_133600544_133601464	0.2	11
chr3_133693743_133694497	0.22	5
chr3_134281518_134282248	0.31	13
chr3_135485226_135485995	0	43
chr3_135649715_135650212	0.27	8
chr3_135666965_135667544	0.17	6
chr3_135699503_135700202	0.14	10
chr3_135971527_135972881	0.08	15
chr3_136379591_136380564	0.21	10
chr3_136471894_136472362	0.24	3
chr3_136967324_136968048	0.3	5
chr3_137351666_137352385	0.22	5
chr3_137491241_137492099	0.18	1
chr3_137560910_137562218	0.03	11
chr3_137647437_137648284	0.07	15
chr3_138095190_138096313	0.29	17
chr3_138264621_138265120	0.09	4
chr3_138613121_138614095	0.24	12
chr3_138625986_138626905	0.06	8
chr3_138735705_138736341	0.37	6
chr3_138784076_138784943	0.28	16
chr3_138900396_138901291	0.08	14
chr3_138948993_138949612	0.05	12
chr3_139866242_139866743	0.84	1
chr3_141909048_141909554	0.1	3
chr3_142173912_142174437	0.17	6
chr3_142881714_142882672	0	30
chr3_142963787_142964755	0.6	10
chr3_143173856_143174543	0.09	5
chr3_143276033_143277133	0.26	10
chr3_143316193_143317524	0.08	17
chr3_143384212_143384884	0.11	3
chr3_143509198_143509775	0.12	9
chr3_143594578_143595479	0.03	9
chr3_143722539_143723106	0.18	2
chr3_144166318_144166916	0.49	8
chr3_144270007_144270789	0.05	9
chr3_144328808_144329725	0.06	13
chr3_144424795_144425764	0.07	9
chr3_144537138_144537466	0	5
chr3_144541930_144542674	0.02	7
chr3_144901370_144902434	0.03	2
chr3_145254879_145255501	0.19	2
chr3_145776765_145777437	0.39	17
chr3_145937690_145938473	0.01	24
chr3_146557390_146558188	0.15	6
chr3_146917617_146918896	0.07	28
chr3_148655993_148656672	0.31	9
chr3_149075584_149075931	0.53	6
chr3_149203277_149203883	0.28	8
chr3_149232935_149234110	0.08	16
chr3_149381724_149382246	0.13	7
chr3_151913973_151914462	0.06	12
chr3_151997274_151998285	0.21	7
chr3_152092335_152093028	0.57	34
chr3_152165319_152166319	0.1	26
chr3_152209917_152211237	0	36
chr3_152592555_152593421	0.19	10
chr3_152605487_152606526	0.07	18
chr3_152713785_152714564	0.02	21
chr3_153077783_153078849	0.08	14
chr3_153338966_153339691	0.2	14
chr3_153353223_153353834	0.17	12
chr3_153441093_153442429	0.1	25
chr3_153472659_153473577	0.35	14
chr3_153492938_153494130	0.27	10
chr3_153831119_153831834	0.81	8
chr3_154222242_154222662	0.62	6
chr3_154293845_154294602	0.04	10
chr3_154467645_154468258	0.22	10
chr3_154651125_154651959	0.07	15
chr3_154700239_154701246	0.4	6
chr3_154707798_154708718	0.09	5
chr3_154825349_154826193	0.28	7
chr3_155381842_155382496	0.03	4
chr3_156876575_156877228	0.24	3
chr3_156999280_156999886	0.32	5
chr3_157096085_157096911	0.08	3
chr3_157114503_157115707	0.55	11
chr3_157208905_157209834	0.84	4
chr3_157883946_157884702	0.05	7
chr3_157946711_157947921	0	56
chr4_3938480_3939433	0	23
chr4_4018144_4018741	0.16	1
chr4_4840075_4840682	0.1	1
chr4_5749350_5749814	0.82	7
chr4_6762521_6763139	0.08	3
chr4_6786853_6787409	0	3
chr4_6839815_6840369	0.05	7
chr4_7595940_7596653	0.01	6
chr4_7847290_7847907	0.04	5
chr4_8357443_8357988	0.06	1
chr4_8646943_8647917	0	78
chr4_8684515_8685003	0.59	7
chr4_8876205_8877045	0.3	17
chr4_8910812_8911980	0.04	49
chr4_9012566_9013266	0.44	15
chr4_9337351_9337857	0.27	15
chr4_9770359_9771501	0.03	43
chr4_11253588_11254545	0	59
chr4_11940037_11940683	0.09	4
chr4_12017643_12018623	0.17	11
chr4_12334258_12335492	0.18	17
chr4_12376724_12377573	0.23	5
chr4_12451845_12452806	0.42	5
chr4_12799453_12800126	0.04	9
chr4_13259297_13259792	0.36	3
chr4_13586543_13587431	0.14	22
chr4_13709531_13710254	0.04	14
chr4_15012337_15013121	0.06	7
chr4_16298478_16299170	0.16	3
chr4_17635959_17636502	0.02	4
chr4_18365551_18366371	0.02	5
chr4_20777183_20778657	0.04	70
chr4_21299864_21300453	0.07	1
chr4_21982310_21982938	0.15	11
chr4_24019349_24019654	0.27	2
chr4_24496117_24496891	0	59
chr4_24798826_24799635	0.45	10
chr4_26070426_26071205	0.05	2
chr4_27425796_27426525	0.12	11
chr4_28298889_28299871	0.07	13
chr4_31608751_31609275	0.08	8
chr4_31642083_31642889	0.23	14
chr4_32198937_32199554	0.02	12
chr4_32217158_32218139	0.33	18
chr4_32750345_32751252	0.42	9
chr4_32757168_32758036	0.21	9
chr4_33125401_33126066	0.41	10
chr4_33188821_33189868	0	41
chr4_33524487_33525160	0.29	10
chr4_33595099_33596071	0.69	16
chr4_33838344_33838837	0.07	6
chr4_33901409_33902163	0.37	7
chr4_34315561_34316443	0.01	9
chr4_34707999_34708666	0.07	5
